"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","64 years and under","Number","0","1","0","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","65 years and over","Number","35","33","33","34","33","40"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","All ages","Number","13","12","12","13","13","14"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","40 - 64 years","Number","1","2","2","2","3","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","65 - 69 years","Number","10","9","7","9","11","11"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","70 - 74 years","Number","27","20","22","21","24","28"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","75 - 79 years","Number","57","55","44","58","44","48"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","80 - 84 years","Number","146","126","128","136","134","137"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","85 years and over","Number","469","448","440","428","411","420"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","64 years and under","Number","1","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","N00-N99 Diseases of genitourinary system","65 years and over","Number","90","82","81","84","80","84"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","All ages","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","Under 5 years","Number","0","2","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","All ages","Number","2","2","2","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","Under 5 years","Number","30","31","29","31","34","27"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","64 years and under","Number","2","2","2","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","P00-P96 Certain conditions originating in the perinatal period","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","All ages","Number","4","4","4","4","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","Under 5 years","Number","28","22","26","28","24","25"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","5 - 19 years","Number","2","1","1","1","1","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","20 - 39 years","Number","1","1","1","0","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","40 - 64 years","Number","3","4","5","4","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 - 69 years","Number","5","5","5","7","2","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","70 - 74 years","Number","3","0","6","5","3","5"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","75 - 79 years","Number","0","4","0","4","4","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","80 - 84 years","Number","6","0","0","0","6","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","85 years and over","Number","0","7","0","6","6","6"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","64 years and under","Number","4","4","4","4","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 years and over","Number","3","3","4","4","3","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","All ages","Number","4","4","4","5","5","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","Under 5 years","Number","6","5","5","5","7","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","20 - 39 years","Number","1","2","1","1","2","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","40 - 64 years","Number","2","2","2","1","2","5"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 - 69 years","Number","2","5","5","5","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","70 - 74 years","Number","3","3","6","5","5","5"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","75 - 79 years","Number","4","4","8","12","11","21"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","80 - 84 years","Number","18","18","17","23","22","22"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","85 years and over","Number","108","112","128","175","156","162"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","64 years and under","Number","2","2","2","1","2","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 years and over","Number","16","17","21","27","25","28"
